original,result
1000110100110110,ok
0001011110011111,fail
1111000010011101,ok
0100110111100010,fail
0000001000010001,ok
1000000111000100,fail
0101110110101010,ok
1001000110001100,fail
0110111101110111,fail
0011101101011111,fail
0011010011011010,fail
0110010101101101,fail
0100011011100000,ok
1001000001000111,fail
0101011000101100,fail
0001100111001111,ok
0011100011011000,ok
0110101111101010,ok
1100100101011110,fail
1111010110011111,ok
0101011100101101,ok
1110101010010011,ok
1111001010011011,ok
1111011010011111,ok
0111101101110101,fail
1110100011111110,fail
1111100000000111,ok
1001011001001101,ok
0101011111000000,ok
0100111110110100,fail
0111001101111010,fail
0001000100010011,ok
0100111001100100,fail
1001100101010011,ok
0110111100100001,fail
0110010111001000,ok
0110100001101100,ok
0100101011011010,ok
0000001000000111,fail
0111110001111010,ok
0110101011110000,fail
0100100011100011,fail
0110000111100111,ok
0110100001101001,ok
0100010111011100,fail
0101011111011110,ok
1001101001000011,ok
1010100101010010,ok
1001000101111101,fail
0111111001110111,fail
1111111010100000,ok
0000010100000110,ok
0001100100011010,ok
1000110101111001,ok
0111101011101100,ok
0001110100011011,ok
0000011110101000,ok
0010001100011100,fail
0110000000110110,ok
1111101100000010,ok
0010111010101110,fail
1111101010011010,ok
0100010011011001,fail
0001000000000110,ok
0100100111011111,ok
1001110001010011,ok
1001001001000111,fail
1000000011110010,fail
0001000110110000,ok
1011111101010110,fail
1001100101111110,ok
1000110111100010,fail
0111010011100000,ok
0011011100100110,ok
1000000101101110,fail
0110001111100001,ok
0001010110101111,ok
1110001000111110,ok
1100001110101100,ok
0110011000111100,ok
0000010010011101,ok
0000101110100100,fail
1011010110001000,fail
1010100111101111,ok
0100000100101010,ok
1001111011101100,fail
1011110001000100,fail
0111010010110111,ok
1010000011111011,fail
1011111010000011,fail
0010110011001001,ok
1011110010000100,fail
0010111011001011,fail
1111101110100000,ok
1111011000000000,fail
0110000000110101,fail
0011000101010100,fail
1110110000000001,fail
0110100011011101,ok
0101111000110000,fail
0101100101101100,fail
0011000111010011,ok
0000001010100011,ok
0110000100110011,fail
0110111001110010,ok
0101011111100111,fail
0000001010011100,ok
0001001000010000,ok
1000110101111000,ok
0000101110100100,fail
0111100111100011,fail
1000001011101011,ok
0010001100011000,ok
0010100100011110,ok
0110100000111010,fail
1001100110000111,ok
0000011110011110,ok
0110001111011101,fail
0001101100010001,ok
0110100100111011,fail
1001011100100010,fail
0011011010010001,fail
1001011011001000,ok
0001000110100111,fail
1001111100011001,fail
1001111011110111,ok
0001100010101110,ok
1101100001111011,fail
0000111110100010,ok
0010010100010110,ok
1100010100100010,ok
0011101000011011,fail
1111010001011010,ok
1011001110000111,fail
0110111001000000,fail
0001111000001100,ok
0001010010100101,ok
0010001010110011,ok
0111010001000110,ok
1011010011110001,ok
1100100111110011,ok
0011000011001101,ok
0011000111001110,ok
1111001111111110,ok
0010011000100101,ok
1110111110011001,fail
0110011001110010,ok
1110111111111001,fail
0101110101101101,fail
1111100110011000,ok
0000011100001100,fail
1111110100000001,ok
0000001000000011,fail
0000101000001010,ok
0101110111100011,ok
0001110100011000,ok
0111011100111101,ok
0000111100000111,fail
0010100000011011,ok
1000110111100100,fail
0001101100001011,fail
0010001000010010,fail
0001111000001101,ok
0110011111010110,ok
1100010101001100,fail
1001111010000000,fail
0001010110100101,ok
0111100111100100,ok
1101000101011000,fail
1100100101001100,fail
0010111000011001,fail
0010110100010001,ok
1010001101110110,fail
0010111100010010,ok
1011101010001011,ok
0011100000011011,fail
1010101010111100,fail
0010010110110101,ok
1100011011110100,fail
1100011011110001,fail
0010110001100101,ok
0001111110101001,ok
0011110000011101,ok
0001001111011001,fail
0010000010101001,ok
0011001011001111,ok
0111100101000111,ok
0011010011010001,ok
0001011100001010,fail
1001010001111101,ok
0000111110100111,ok
1000011011100110,fail
0010101000011011,fail
0110100000110100,fail
0000111100010000,fail
0110100100110101,ok
1000011101111000,ok
0001101010101111,fail
0001010110100010,fail
1010100011101000,ok
0010010110110010,ok
0001010110100001,ok
0111010001000000,ok
0001100110100100,fail
0101111111010010,fail
0011000100011000,ok
0001101010100101,ok
0011001100011001,ok
0101001100101001,ok
0001100110100011,fail
0011000000010111,fail
0010001010101100,ok
1010100011101011,fail
0000100001011111,ok
1111111001011001,fail
1100101111001100,ok
0100001000100000,fail
0010110111011011,fail
0010001110101101,fail
1000110111100010,ok
0010010010101110,ok
0101001100101001,fail
0010101110110101,ok
0100100100011110,ok
0101010000101001,fail
0101101000101111,ok
1010111110000000,fail
1010001111110011,fail
0011000000001110,ok
1100010110000011,fail
0010101110110010,ok
1101111011111000,fail
1100100001111110,ok
0011001010111000,ok
1111001110010111,ok
0010100110101110,fail
1100001110000110,ok
0101101101100010,ok
1110100010001100,ok
1110100000000000,ok
1111011010010111,ok
1100110010001011,ok
1011010011101111,ok
1111001111000111,fail
0100101100011010,fail
1111100000110000,fail
0001110001100111,ok
1111110100001000,ok
0111000001110001,ok
0111110101001001,ok
0011001110110101,ok
1101010011110100,ok
0111111001001010,ok
0100001000010100,fail
0101000100100011,fail
1101110110001001,fail
0111111101001011,fail
0011111010111110,fail
0011010111010010,fail
